"","log2foldChange","pValues","FDR","celltype","gene"
"KLHL17",0.162048164201472,0.00102664635219476,0.0225779403422187,"Ex","KLHL17"
"TNFRSF18",-0.154989459744712,0.0011936812363203,0.024326355421853,"Ex","TNFRSF18"
"SKI",0.0617622903036557,0.000479052615521293,0.0147665396950894,"Ex","SKI"
"MMEL1",0.188495964371707,0.00053607852275534,0.0156854735145259,"Ex","MMEL1"
"RERE",0.0545932184761391,0.00211182555987596,0.0331736653328441,"Ex","RERE"
"SLC25A33",-0.0710181214218419,0.00176985582894536,0.0302405817389349,"Ex","SLC25A33"
"FBXO2",0.0963736414300991,0.000137336024750781,0.00688447315248862,"Ex","FBXO2"
"FHAD1",-0.13315132974031,0.00118617845040213,0.024326355421853,"Ex","FHAD1"
"HSPB7",0.139157636155702,0.0032229486389853,0.0437698253910006,"Ex","HSPB7"
"FAM131C",0.110534614694506,0.000366506196125222,0.0126483170313336,"Ex","FAM131C"
"SDHB",-0.0515871839735684,0.00300135231510864,0.0414624506752851,"Ex","SDHB"
"PADI2",0.12210093741428,0.000370994468296887,0.0127069219017764,"Ex","PADI2"
"RCC2",0.060410177614223,2.64885599399876e-05,0.00249303666142669,"Ex","RCC2"
"ARHGEF10L",0.0918581063729142,2.02918832739621e-06,0.000588680486043559,"Ex","ARHGEF10L"
"IFFO2",0.0519601186706753,2.60710387236231e-05,0.00248586442654965,"Ex","IFFO2"
"DDOST",-0.0601139900651315,0.000361517594384751,0.0125427287517457,"Ex","DDOST"
"SH2D5",-0.0956563956389296,0.000777724233528908,0.0192594169016846,"Ex","SH2D5"
"ECE1",0.0643656667110077,0.00141360183867417,0.0269003834887109,"Ex","ECE1"
"ZBTB40",0.0509261772783169,0.00292999834960663,0.0408492101195158,"Ex","ZBTB40"
"IFNLR1",0.0848355860831755,0.00236664762626601,0.0353829390176942,"Ex","IFNLR1"
"RHCE",-0.147393187727952,0.000104621396129588,0.00570605094490771,"Ex","RHCE"
"HMGN2",-0.172379213334338,1.02213432241794e-08,1.99097164088123e-05,"Ex","HMGN2"
"RPS6KA1",0.0570513363688319,0.000877692861886391,0.0205624435941941,"Ex","RPS6KA1"
"MECR",-0.0632314892292127,0.00071394400713996,0.018399414868647,"Ex","MECR"
"PTP4A2",0.0460870660453683,0.000339325163129804,0.0122724100776522,"Ex","PTP4A2"
"KHDRBS1",-0.0610220728592283,5.37311060104979e-05,0.00383572581389078,"Ex","KHDRBS1"
"FAM167B",0.175668487169002,0.00361097801443184,0.0468465130606832,"Ex","FAM167B"
"MARCKSL1",-0.0797883884674491,7.41719429631371e-05,0.00465080742287343,"Ex","MARCKSL1"
"FAM229A",0.142660504982695,4.62280574022129e-05,0.00348242852308935,"Ex","FAM229A"
"SYNC",0.0622057562452933,0.00391507203673287,0.0491547027816323,"Ex","SYNC"
"AZIN2",-0.057720580154303,0.000753893478094253,0.0189306400991071,"Ex","AZIN2"
"ZMYM6",-0.0366369922319523,0.00201497103062505,0.0324639936241789,"Ex","ZMYM6"
"PSMB2",-0.048093968684447,0.00295104827497203,0.0410168636383726,"Ex","PSMB2"
"EVA1B",0.130927713751125,0.00336079945023611,0.045145519056009,"Ex","EVA1B"
"MTF1",0.0504176344381806,0.00032532857194799,0.0119979951662236,"Ex","MTF1"
"RRAGC",0.052467869645866,0.000641287199599462,0.0171827358389423,"Ex","RRAGC"
"BMP8A",0.0692414230954679,0.00340865914822887,0.0454765826674174,"Ex","BMP8A"
"PPT1",-0.0516426095177618,0.000916848609606448,0.0211885267660744,"Ex","PPT1"
"FOXO6",0.115927620544817,0.000774357544800527,0.0192594169016846,"Ex","FOXO6"
"HIVEP3",0.073637948661271,0.00021722655957572,0.00967935993403575,"Ex","HIVEP3"
"ZMYND12",-0.137783058038385,0.000105743592512804,0.00574427842196047,"Ex","ZMYND12"
"PPCS",-0.0743811807712351,7.92309473597091e-05,0.00484445725224051,"Ex","PPCS"
"TMEM125",-0.211042641468932,0.000583685355512613,0.0164093810771432,"Ex","TMEM125"
"PTPRF",-0.0581734343467355,0.000496906224936767,0.0150228744501393,"Ex","PTPRF"
"DPH2",-0.0661090826211219,9.66257315345861e-06,0.00142585891148649,"Ex","DPH2"
"SLC6A9",0.171001956536867,2.62963882087426e-08,3.25955684751096e-05,"Ex","SLC6A9"
"POMGNT1",-0.0384994373517928,0.000709800865239312,0.0183298007529129,"Ex","POMGNT1"
"ATPAF1",-0.0616449783807909,4.41259552025952e-06,0.000971344181413953,"Ex","ATPAF1"
"SPATA6",-0.0869326429859956,7.22715024710549e-05,0.00465080742287343,"Ex","SPATA6"
"AGBL4",-0.0615086796015074,0.00331141927912035,0.0446158121253023,"Ex","AGBL4"
"TTC39A",0.090854412885192,0.000834672881471479,0.0201429464404666,"Ex","TTC39A"
"RAB3B",-0.0928341600410465,0.000244897285318107,0.0103380015025151,"Ex","RAB3B"
"CPT2",-0.12537529906298,1.2128529534518e-05,0.00166794176015724,"Ex","CPT2"
"FGGY",-0.0738748027677185,0.000490276865864863,0.0149107187603725,"Ex","FGGY"
"TM2D1",-0.0664065096492403,2.13390503932759e-06,0.000596137241953435,"Ex","TM2D1"
"ALG6",-0.100518209742924,0.000104278372293746,0.00570605094490771,"Ex","ALG6"
"AK4",0.0822127497086766,0.000568795122459863,0.0162931123839081,"Ex","AK4"
"TNNI3K",-0.154621976006898,0.000799364107814316,0.0196384317298166,"Ex","TNNI3K"
"GIPC2",-0.121109756615911,0.00159667832700551,0.0286096361816435,"Ex","GIPC2"
"SAMD13",-0.0917599326340046,0.000469121043257554,0.0146361297312224,"Ex","SAMD13"
"LMO4",0.0696339257717664,0.000670070080304684,0.0177062122964232,"Ex","LMO4"
"F3",-0.223363926589712,0.00355143650715032,0.0465166539625309,"Ex","F3"
"PALMD",-0.122234321742656,0.00324381548556609,0.0440093772593966,"Ex","PALMD"
"AGL",-0.0573809985478024,0.00336728954015117,0.045145519056009,"Ex","AGL"
"VAV3",0.105440842354636,0.00076489192559212,0.0191715099364863,"Ex","VAV3"
"PSMA5",-0.0703004322343692,0.00354916438961664,0.0465166539625309,"Ex","PSMA5"
"AMPD2",0.0567566509156654,0.000391834911184215,0.0132244282524673,"Ex","AMPD2"
"AHCYL1",-0.133564769599051,2.32524062273721e-07,0.000144112072231918,"Ex","AHCYL1"
