"","log2foldChange","pValues","FDR","celltype","gene"
"C1orf112",-0.0525279858929095,0.000449626124541799,0.0118098196314041,"Ex","C1orf112"
"HS3ST1",-0.086227051309562,3.96527697287632e-08,3.79501789285344e-05,"Ex","HS3ST1"
"SNX11",-0.037795268926335,0.000765532955608239,0.016395253355565,"Ex","SNX11"
"CYP26B1",-0.115251076790172,0.000166110160073292,0.00639106754070936,"Ex","CYP26B1"
"ICA1",-0.0351145199727929,0.00433087122534684,0.0479874320359885,"Ex","ICA1"
"CASP10",-0.0704672776128952,0.00242695681326386,0.0340018203856445,"Ex","CASP10"
"RBM6",0.0539193253085388,0.000568409188672814,0.0136000779783544,"Ex","RBM6"
"CIAPIN1",-0.0479201211393248,0.000651157983952287,0.0148346892180307,"Ex","CIAPIN1"
"SPPL2B",-0.0454492905583885,0.000665056896714349,0.0150206729489481,"Ex","SPPL2B"
"CCL3",-0.329145127404548,0.000741884979729534,0.016137052123009,"Ex","CCL3"
"CACNA1G",-0.0921839998291123,2.94979988057294e-05,0.00227615113949537,"Ex","CACNA1G"
"PAFAH1B1",-0.0422554472022432,0.000997721762513395,0.0193884687174716,"Ex","PAFAH1B1"
"RPUSD1",-0.0392723182342074,0.00453139238059117,0.0491773292161535,"Ex","RPUSD1"
"PIGQ",-0.0401948514802797,0.00125777870709567,0.0225457865834169,"Ex","PIGQ"
"SYPL1",-0.0402866095668957,0.00441009391811516,0.0485142012701849,"Ex","SYPL1"
"UBE3C",-0.0280389098100224,2.03028138692597e-06,0.000414529318373299,"Ex","UBE3C"
"TENM1",0.0453113649525272,0.000863712161390982,0.017848885731957,"Ex","TENM1"
"VTA1",-0.0389379425823089,0.000469519144331657,0.0120229877209877,"Ex","VTA1"
"IFFO1",-0.0456421833617462,0.000265430955033051,0.00857498779413736,"Ex","IFFO1"
"SEMA3G",-0.143270590002087,0.00126539973613411,0.022583993192799,"Ex","SEMA3G"
"FUZ",-0.0425486538474131,2.16770179882315e-06,0.000423776916323588,"Ex","FUZ"
"SLC6A13",-0.136909999137749,0.000156058012389091,0.00622321964508894,"Ex","SLC6A13"
"ZNF200",-0.033693594365892,0.000803155841897205,0.0170578715769374,"Ex","ZNF200"
"LYPLA2",-0.0407829648806288,0.00156987234927902,0.0257657612910072,"Ex","LYPLA2"
"UTP18",-0.034250947310186,0.00102883577139754,0.0198420178430863,"Ex","UTP18"
"DCN",-0.0810214123102071,0.000446710925413969,0.0117534096234779,"Ex","DCN"
"MAP4K3",-0.0393855073198877,2.36711663743794e-06,0.000453095713363589,"Ex","MAP4K3"
"TMEM159",-0.0759154915885607,0.0020018578569036,0.0303198479627209,"Ex","TMEM159"
"RNF14",-0.042055226841013,1.26637703743962e-05,0.00134666885932729,"Ex","RNF14"
