"","log2foldChange","pValues","FDR","celltype","gene"
"HES4",-0.0100093709880968,1.567864951324e-07,1.19372208393022e-05,"CP.mixed","HES4"
"TMEM52",-0.0185357705769001,0.00194178585364659,0.028597048780757,"CP.mixed","TMEM52"
"GABRD",-0.0255261419235641,4.59676645967488e-05,0.00143791487258938,"CP.mixed","GABRD"
"HES5",-0.0200841190998623,2.15736805896356e-07,1.55455704641655e-05,"CP.mixed","HES5"
"PRDM16",0.0208713537660254,0.00128513774107121,0.0207641724510814,"CP.mixed","PRDM16"
"SMIM1",-0.0246858261294328,2.08175549756551e-09,3.57463994534094e-07,"CP.mixed","SMIM1"
"CHD5",0.0357522868554645,7.23976746143739e-08,6.38563314727109e-06,"CP.mixed","CHD5"
"RNF207",0.0150263163004457,7.7526344152383e-05,0.00224256760029321,"CP.mixed","RNF207"
"PLOD1",0.0144187528084002,0.00384566237665054,0.0479326922173871,"CP.mixed","PLOD1"
"TMEM51-AS1",0.00883714818663351,0.00259590877071968,0.0356685722143569,"CP.mixed","TMEM51-AS1"
"VWA5B1",0.0452420921285327,2.15337693249898e-05,0.000772392379277024,"CP.mixed","VWA5B1"
"CAMK2N1",-0.0125943319854627,0.000627862598665125,0.0121953432070443,"CP.mixed","CAMK2N1"
"HSPG2",0.0261260122804242,3.97592691044392e-06,0.000187647474448758,"CP.mixed","HSPG2"
"CRYBG2",-0.0209208455570591,0.000239841439913326,0.00569920006453149,"CP.mixed","CRYBG2"
"HMGN2",-0.00469837758836167,0.00402616187686953,0.0494945002700313,"CP.mixed","HMGN2"
"XKR8",-0.019319357360882,0.00295531466957143,0.0391478223266807,"CP.mixed","XKR8"
"COL16A1",0.0281448209475707,0.00155854678616639,0.0240042974002975,"CP.mixed","COL16A1"
"CCDC28B",-0.00894519536300142,0.000696249734630618,0.0131594460968066,"CP.mixed","CCDC28B"
"FAM167B",-0.0179146794963103,7.3507410149819e-05,0.00213013125175625,"CP.mixed","FAM167B"
"AL033529.1",0.00876589445010946,0.00228127522907365,0.0322544521487977,"CP.mixed","AL033529.1"
"SYNC",-0.0148023137554209,0.000858861302570487,0.0154203340209013,"CP.mixed","SYNC"
"CSMD2",0.034226858083116,1.9652086784929e-06,0.000105034547283291,"CP.mixed","CSMD2"
"DLGAP3",0.0127676331925231,0.00158235117125321,0.0242782606988575,"CP.mixed","DLGAP3"
"SH3D21",0.0138941136738314,0.00315391960298035,0.0413209547984625,"CP.mixed","SH3D21"
